Time,Average Movement,Average Movement Size,Average Movement Direction
0.033357795716859026,7.358585858585859,2.7126713510091593,-128.6241042947861
0.10007338715057708,7.140350877192983,2.672143498615481,-130.92253905616965
0.16678897858429514,8.217391304347826,2.8665992577177275,-130.68747023665853
0.2335045700180132,7.620689655172414,2.7605596633966116,-130.80545936329966
0.30022016145173125,8.168831168831169,2.8581167171463044,-129.18270489305408
0.3669357528854493,6.709183673469388,2.5902091949241064,-131.20501370844283
0.43365134431916735,6.976190476190476,2.641247901313028,-131.54718668990787
0.5003669357528854,4.313953488372093,2.077005895122133,-132.07839175418204
0.5670825271866035,4.064,2.0159365069366646,-127.8178347066394
0.6337981186203215,4.252136752136752,2.0620709862021607,-129.677209736372
0.7005137100540396,3.8628318584070795,1.965408827294484,-129.48556296552078
0.7672293014877576,3.2990654205607477,1.8163329597187703,-131.33960145212455
0.8339448929214757,3.412037037037037,1.8471700076162554,-128.50313430971772
0.9006604843551937,3.8842105263157896,1.970840055995359,-127.04590870276557
0.9673760757889118,2.2131782945736433,1.4876754668185004,-130.3306654339773
1.03409166722263,3.9305555555555554,1.9825628755617197,-125.93660908139243
1.100807258656348,4.685897435897436,2.16469338149712,-124.7345530674707
1.1675228500900656,1.8844221105527639,1.3727425507183653,-132.24146576888677
1.234238441523784,5.181818181818182,2.2763607319179844,-123.66779039175628
1.300954032957502,4.870689655172414,2.206963899834434,-124.75015786729868
1.36766962439122,5.161538461538462,2.2719019480467155,-127.52170697637014
1.4343852158249382,5.514705882352941,2.3483410915693104,-129.37612119684644
1.5011008072586562,4.08125,2.020210385083692,-127.56170994687254
1.5678163986923743,3.086021505376344,1.7567075753739847,-126.98060732932629
1.6345319901260924,3.111111111111111,1.7638342073763937,-129.36287066985747
1.7012475815598105,4.046511627906977,2.011594300028457,-125.41353522606738
1.7679631729935283,3.2,1.7888543819998317,-127.63210558274017
1.8346787644272464,4.372340425531915,2.091014209787182,-124.7612798429276
1.9013943558609645,4.595238095238095,2.1436506467328336,-125.67573461130655
1.9681099472946826,6.595505617977528,2.5681716488540105,-128.76157221489387
2.0348255387284007,5.773684210526316,2.4028491859720025,-121.77019435177563
2.1015411301621185,5.03921568627451,2.2448197447177156,-124.54264223683502
2.168256721595837,6.017045454545454,2.4529666639694585,-123.41048439318632
2.2349723130295547,5.648351648351649,2.3766261061327354,-123.99205315623081
2.301687904463273,4.4,2.0976176963403033,-123.18109711708439
2.368403495896991,5.728571428571429,2.393443424978211,-124.11242807132463
2.435119087330709,6.7894736842105265,2.6056618514708556,-118.88603017768231
2.501834678764427,7.384615384615385,2.7174648819470297,-124.89025696567728
2.5685502701981453,5.731481481481482,2.3940512696016936,-123.28883128965812
2.635265861631863,4.804347826086956,2.1918822564378218,-124.01421517299039
2.701981453065581,5.414285714285715,2.326861773781527,-126.98380090481048
2.7686970444992993,3.93859649122807,1.9845897538856916,-128.15722658736905
2.835412635933017,3.594017094017094,1.895789306335779,-125.80526579754276
2.9021282273667355,3.7007874015748032,1.9237430705722642,-122.995031992334
2.9688438188004533,4.786407766990291,2.1877860423245896,-123.78170870392547
3.0355594102341716,4.651639344262295,2.1567659456376567,-129.78617801953428
3.1022750016678895,7.470802919708029,2.73327695627575,-129.09987635716192
3.168990593101608,5.2379310344827585,2.288652667943032,-131.77576403837114
3.2357061845353257,8.917322834645669,2.9861886803491955,-129.8583601705761
3.3024217759690435,14.579166666666667,3.8182674954312286,-132.9135741765688
3.369137367402762,21.320689655172412,4.6174332323459115,-132.09812384948097
3.4358529588364797,20.098159509202453,4.483097088977937,-133.24584167684495
3.502568550270198,27.377906976744185,5.2323901781828335,-131.3176489067382
3.569284141703916,37.138364779874216,6.094125431911802,-130.6030934246794
3.635999733137634,40.049418604651166,6.328460998114089,-134.7671472892153
3.702715324571352,52.92605633802817,7.275029645164903,-138.16471837466224
3.7694309160050703,69.7841726618705,8.353692157475669,-134.04394336667477
3.836146507438788,72.76408450704226,8.530186663083185,-139.3375760352234
3.902862098872506,85.69262295081967,9.257031000856575,-132.99356715303537
3.9695776903062243,88.86666666666666,9.426911830852491,-124.32193626197044
4.036293281739942,93.25,9.656603957913983,-125.4162856196883
4.1030088731736605,63.381147540983605,7.961227765928042,-125.47557595888907
4.169724464607379,68.56862745098039,8.280617576665426,-127.95252792117411
4.236440056041096,56.57211538461539,7.521443703479764,-118.93485528778245
4.303155647474815,57.681372549019606,7.5948253797582215,-120.37695440852835
4.369871238908533,52.03738317757009,7.2136941422249174,-122.7156477686368
4.43658683034225,45.58620689655172,6.751755838043295,-123.51301788586727
4.5033024217759685,53.3,7.3006848993775915,-113.96168690210857
4.570018013209687,38.77064220183486,6.226607599795804,-121.3333189046528
4.636733604643405,35.1588785046729,5.929492263648963,-126.49432314455882
4.7034491960771225,31.022935779816514,5.569823675828213,-123.79197882591073
4.770164787510841,26.166666666666668,5.115336417740935,-124.26176826312091
4.836880378944559,27.252380952380953,5.220381303351409,-118.52923087146497
4.903595970378277,25.140776699029125,5.014057907426791,-126.5975067082193
4.970311561811995,33.17333333333333,5.75962961772138,-113.11256593050939
5.037027153245713,35.171875,5.930588082138229,-109.46627366291553
5.1037427446794315,13.572115384615385,3.6840352040412676,-124.68452417395444
5.170458336113149,8.811111111111112,2.968351581452425,-127.1090146365819
5.237173927546867,9.294444444444444,3.0486791311065264,-121.18564042617916
5.3038895189805855,12.385135135135135,3.519252070417113,-124.45979972023147
5.370605110414304,9.653846153846153,3.1070639120954935,-118.66897576545813
